No.,Name,Pos.,Lineup1,Lineup2,Lineup3,Lineup4,Lineup5,Points by Set1,Points by Set2,Points by Set3,Points by Set4,Points by Set5,Pts
1 ,CHINENYEZE ,MB,2,1,2,4,1,,1,2,3,1.0,7
2 ,GREBENNIKOV, L,L,L,L,L,L,,,,,,
4 ,PATRY, O,3,2,3,5,2,4.0,3,4,2,2.0,15
6 ,TONIUTTI , S,,4,,,,,,,,,
7 ,TILLIE ,OH,,1,,,,,,,,,
9 ,NGAPETH ,OH,1,6,1,3,6,8.0,9,4,2,3.0,26
11, BRIZARD, S,6,5,6,2,5,3.0,,1,,1.0,5
12, BOYER, O,,11,17,,,,,,,,
14, le GOFF ,MB,5,4,5,1,4,2.0,5,1,1,,9
16, BULTOR ,MB,,,,,,,,,,,
17, CLEVENOT ,OH,4,3,4,6,3,1.0,1,2,5,2.0,11
19, LOUATI ,OH,14,14,14,,1,,,,,,
