,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0,17,FAYOLA HURTADO Ronald Daniel,12,, 12,24,50.0
1,4,MATA Hector,6,1.0,6,13,
2,11,VERDI Jose,5,, 3,8,
3,19,RIVAS QUIJADA Willner Enrique,2,2.0,2,6,
4,7,VALENCIA GONZALEZ Edson Alberto,,1.0,3,4,
5,14,CANELO SANCHEZ Eliecer Alfonso,3,1.0,, 4,
6,6,ORAMAS BRIZUELA Robert Manuel,,, 1,1,
7,9,CARRASCO ANGULO Jose Manuel,,1.0,, 1,
8,1,VELAZQUEZ ESCALANTE Armando Fernan.,,,, ,
9,3,GONZALEZ Fernando,,,, ,
10,5,RODRIGUEZ GONZALEZ Emerson Alexand.,,,, ,
11,15,ARIAS GUZMAN Luis Antonio,,,, ,
12,ls,,28,6.0,27,61,45.9
