,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 9,CARRASCO ANGULO Jose Manuel,17,, 15,32,5.67
1, 1,VELAZQUEZ ESCALANTE Armando Fernan.,8,, 16,24,2.67
2, 4,MATA Hector,4,, 4,8,1.33
3, 5,RODRIGUEZ GONZALEZ Emerson Alexand.,,, 2,2,0.0
4,11,VERDI Jose,,, 2,2,0.0
5,17,FAYOLA HURTADO Ronald Daniel,,, 2,2,0.0
6, 7,VALENCIA GONZALEZ Edson Alberto,,, 1,1,0.0
7,3,GONZALEZ Fernando,,,, ,
8,6,ORAMAS BRIZUELA Robert Manuel,,,, ,
9,14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
10,15,ARIAS GUZMAN Luis Antonio,,,, ,
11,19,RIVAS QUIJADA Willner Enrique,,,, ,
12,ls,,29,,42,71,9.67
