Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort,Country
AKINRADEWO Foluke,21.0,32.0,34.0,87.0,0.75,28,1.47,USA
BARTSCHHACKLEY Michelle,7.0,21.0,22.0,50.0,0.25,28,0.72,USA
DREWS Andrea,7.0,11.0,20.0,38.0,0.25,28,0.65,USA
HANCOCK Micha,1.0,2.0,7.0,10.0,0.04,28,0.17,USA
HILL Kimberly,0.0,0.0,0.0,0.0,0.0,28,0.0,USA
LARSON Jordan,9.0,19.0,15.0,43.0,0.32,28,0.66,USA
OGBOGU Chiaka,2.0,5.0,1.0,8.0,0.07,28,0.11,USA
POULTER Jordyn,7.0,22.0,20.0,49.0,0.25,28,0.69,USA
ROBINSON Kelsey,1.0,1.0,1.0,3.0,0.04,28,0.06,USA
THOMPSON Jordan,9.0,8.0,10.0,27.0,0.39,23,0.64,USA
WASHINGTON Haleigh,20.0,33.0,42.0,95.0,0.71,28,1.58,USA
WONGORANTES Justine,0.0,0.0,0.0,0.0,0.0,28,0.0,USA
